url,header,release time,article content,formatted date,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content
https://www.reuters.com/article/volvo-results/truck-maker-volvo-q1-profit-falls-less-than-expected-idUSL8N2C8226,['Truck maker Volvo Q1 profit falls less than expected'],"['April 23, 2020 /  5:31 AM / 2 months ago']","['STOCKHOLM, April 23 (Reuters) - Swedish truck maker AB Volvo reported a smaller-than-expected fall in first-quarter operating earnings on Thursday but warned its net order intake of trucks had been negative since the end of March as customers cancelled planned purchases due to the pandemic. ', 'Adjusted operating profit at the maker of trucks, construction equipment, buses and engines fell to 7.1 billion Swedish crowns ($704 million) from a year-ago 12.7 billion to come in above analysts’ mean forecast of 6.0 billion, according to Refinitiv estimates. ($1 = 10.0825 Swedish crowns) (Reporting by Niklas Pollard; editing by Johannes Hellstrom)']",2020-04-23 05:31:00,0.911,0.063,0.026,-0.9992,0.097,0.866,0.037,-0.7469
https://www.reuters.com/article/volvo-results/swedens-ab-volvo-unveils-bumper-payout-as-q4-profit-beats-forecast-idUSFWN29Y1CM,"[""Sweden's AB Volvo unveils bumper payout as Q4 profit beats forecast""]","['January 30, 2020 /  6:34 AM / 3 months ago']","['STOCKHOLM, Jan 30 (Reuters) - Swedish truck maker AB Volvo reported a smaller-than-expected fall in fourth-quarter core earnings on Thursday and unveiled plans for a payout to shareholders that easily beat market expectations. ', 'Operating profit at the maker of trucks, construction equipment, buses and engines fell to 9.2 billion crowns ($969 million) from a year-ago adjusted 10.6 billion, beating an analysts’ mean forecast of 8.4 billion, according to Refinitiv estimates. ', '$1 = 9.4970 Swedish crowns\nReporting by Niklas Pollard; editing by Johannes Hellstrom']",2020-01-30 06:34:00,0.0,0.503,0.497,0.872,0.036,0.902,0.063,0.3182
https://www.reuters.com/article/volvo-layoffs/ab-volvo-to-reduce-white-collar-workforce-by-4100-in-second-half-of-2020-idUSL8N2DT4BQ,"['AB Volvo to reduce white-collar workforce by 4,100 in second half of 2020']","['June 16, 2020 /  1:17 PM / 24 days ago']","['STOCKHOLM, June 16 (Reuters) - Truck- and construction equipment maker AB Volvo plans to cut its white-collar workforce by around 4,100 positions during the second half of 2020, it said in a statement on Tuesday, citing the effects of the COVID-19 pandemic. ', '“The Corona epidemic and the global measures taken to fight it has led to a market situation impacting our industry severely,” Volvo CEO Martin Lundstedt said in a statement. ', '“The effects are expected to be lower demand going forward and we need to continue to adjust our organization accordingly.” ', 'Volvo said around 15% of the expected reductions were consultants, adding that about 1,250 positions were expected to be cut in Sweden. (Reporting by Johannes Hellstrom; Editing by Simon Johnson)']",2020-06-16 13:17:00,0.0,1.0,0.0,0.0,0.084,0.916,0.0,-0.8176
https://www.reuters.com/article/us-volvocars-results/geelys-volvo-cars-in-gear-for-recovery-while-merger-delayed-idUSKCN24M0IV,"[""Geely's Volvo Cars in gear for recovery, while merger delayed""]","['July 21, 2020 /  5:32 AM / a day ago']","['STOCKHOLM (Reuters) - Volvo Cars said it expects its business to recover in the second half of the year after reporting on Tuesday an operating loss for the first six months as coronavirus lockdowns strained supply chains and forced plant closures. ', 'The Swedish-based carmaker also said that its planned merger with sister company Geely Automobile Holdings Ltd (', ') had been temporarily put on hold due to Geely Auto’s plans to list in China. The companies will resume talks in the autumn. ', 'Volvo saw a return to solid growth in China during the second quarter, it said, and expected a similar upturn in the United States and Europe. ', '“If the market recovers as we expect, we anticipate sales volumes to return to the levels we saw in the second half of 2019 and it is also our ambition to return to similar profit levels and cash flow,” CEO Hakan Samuelsson said in a statement. ', 'Market recovery has allowed the company to resume production in all factories, except the Charleston plant in Ridgeville, South Carolina, Volvo said. ', 'Volvo Cars, which was bought by China’s Zhejiang Geely Holding Group Co Ltd [GEELY.UL] from Ford Motor Co (', ') in 2010, plans to merge with Geely Automobile and list in Hong Kong and possibly Stockholm - as well as on a stock market in mainland China. ', 'Geely Automobile said last month that its board had approved a preliminary proposal to list new renminbi shares on Shanghai’s Nasdaq-like STAR board. ', '“In connection with this (the Shanghai listing) Geely Auto cannot discuss a potential combination of the companies,” a Volvo Cars spokeswoman said about the merger. Talks would resume as soon as Geely Auto had “ended its activities related to that”, she said. ', 'The Gothenburg-based carmaker reported an operating loss of 989 million Swedish crowns ($110 million) for January-June, versus a 5.52 billion profit in the first half of last year, as revenues fell 14% to 111.8 billion crowns. ', 'Volvo had warned in March that sales, earnings and cash flow in the first half of 2020 would decline from a year ago as the coronavirus pandemic weighed on its business. In April it announced plans to make 1,300 white-collar workers in Sweden redundant. ', 'Reporting by Helena Soderpalm; Editing by Johannes Hellstrom/ Sherry Jacob-Phillips/Susan Fenton']",2020-07-21 05:32:00,0.0,1.0,0.0,0.0,0.031,0.919,0.05,0.7579
https://www.reuters.com/article/us-volvo-results/swedens-volvo-hit-by-cancelled-orders-as-pandemic-creates-new-normal-idUSKCN2250ID,"[""Sweden's Volvo hit by cancelled orders as pandemic creates 'new normal'""]","['April 23, 2020 /  5:41 AM / 17 days ago']","['STOCKHOLM (Reuters) - Sweden’s AB Volvo (', ') on Thursday warned of stalling truck orders and a challenging adjustment to a “new normal” of feebler demand after reporting a smaller-than-expected fall in quarterly operating earnings helped by service sales. ', 'The rival to Germany’s Daimler (', ') and Volkswagen subsidiary Traton (', ') said its net order intake had turned negative since the end of March as customers rushed to cancel planned truck purchases due to the coronavirus pandemic. ', 'The Gothenburg-based manufacturer last suffered a demand downturn on a similar scale during the 2008 global financial crisis when cancellations outpaced new orders for a full quarter. Volvo shares fell 6.65% by 0850 GMT. ', 'Already facing a cyclical slowdown before the outbreak brought markets and production to a halt in Europe and North America last month, the slump is set to test Volvo which in the past has struggled to handle violent swings in demand. ', '“In the coming quarters, it will be challenging to reduce costs with the same speed and magnitude as revenues are decreasing,” CEO Martin Lundstedt said in a statement, adding he expected demand for services to suffer too. ', 'Adjusted operating profit at the maker of trucks, construction equipment, buses and engines fell to 7.1 billion Swedish crowns ($704 million) from 12.7 billion but topped the 6 billion expected by analysts, Refinitiv Eikon estimates showed. ', 'Volvo last month shelved plans for an extra shareholder payout though it said on Thursday it still intended to pay its ordinary dividend for 2019. ', 'One of Sweden’s biggest private sector employers with a global workforce of 100,000, the company said it aimed to “cautiously restart” manufacturing in Europe, North America and Brazil at low levels at the end of April and beginning of May. ', '“Everyone is struggling with what the ramp-up and new normal will look like,” Lundstedt said in a conference call. ', '“Our current estimate is that the gradual return will be slow and activities in the Volvo group need to be adjusted.” ', 'While factories may be stirring back to life, uncertainty lingers as to how much demand will be there to meet the output. ', 'Order intake of its trucks under brands such as Mack and Renault as well as its own name fell 16% in the first quarter but Volvo warned the decline had been 75% in March versus February and net negative since then.  ', 'Volvo, which in January saw the market falling by just under 15% in Europe and by nearly 30% in North America this year, said it was now not meaningful to try to forecast. ', '“It was rather expected that they wouldn’t give forecasts ... since uncertainty is so big and visibility almost none,” Handelsbanken Capital Markets analyst Hampus Engellau said. ', 'Reporting by Niklas Pollard; additional reporting by Helena Soderpalm; editing by Jason Neely and Keith Weir']",2020-04-23 05:41:00,0.153,0.687,0.16,0.0258,0.098,0.885,0.018,-0.9848
https://www.reuters.com/article/us-volvo-results/swedens-ab-volvo-plans-big-shareholder-payout-as-profit-beats-idUSKBN1ZT0I0,"[""Sweden's AB Volvo plans big shareholder payout as profit beats""]","['January 30, 2020 /  6:40 AM / 3 months ago']","['STOCKHOLM (Reuters) - Swedish truck maker AB Volvo (', ') reported a smaller than expected fall in fourth-quarter earnings in the face of slowing demand and announced plans on Thursday for a payout to shareholders that exceeded market expectations.  ', 'The downturn in the volatile truck cycle that will be a test of Volvo’s resilience with CEO Martin Lundstedt having spent his four years at the helm boosting flexibility across the group.  ', 'With forecast-beating earnings and shareholder payout, analysts saw clear signs Lundstedt’s work is paying off.    ', '“This is really what people have been waiting for,” Handelsbanken Capital Markets analyst Hampus Engellau said.  ', '“The first quarter will be weaker. But if it is weaker from these levels, that still makes for very strong figures.”     ', 'Operating profit at the maker of trucks, construction equipment and buses fell to 9.2 billion crowns ($969 million) from a year-ago adjusted 10.6 billion, beating an analysts’ mean forecast of 8.4 billion, according to Refinitiv estimates. ', 'The rival of Germany’s Daimler (', ') and newly listed Traton (', ') said it was focused on adapting to lower volumes and while its production in Europe was well aligned with demand in Europe, further cuts were needed in North America. ', '“Our increased profitability and strong financial position allow us to invest in our future as well as return cash to our shareholders,” Lundstedt said in a statement.    ', 'Strong truck sales ahead of the current slump have helped drive cash generation at Volvo in recent years, allowing it to give an extraordinary payout to shareholders a year ago and fuelling analysts’ expectations for more of the same. ', 'Volvo proposed raising its ordinary dividend to 5.5 crowns per share from a year-ago 5.0 crowns and said it planned an extra dividend of 7.5 crowns per share, up from the 5.0 crown per share bonus payout last year. ', 'Analysts had on average forecast a total payout of 10.36 crowns per share for 2019, Refinitiv estimates showed. ', 'The Gothenburg-based company maintained its forecast for heavy truck markets to contract just under 15% in Europe and nearly 30% in North America this year, an outlook broadly in line with that delivered by U.S. rival Paccar (', ') earlier this week. ', 'Order intake of its trucks, which includes brands such as Mack and Renault, was down 10 percent year-on-year in final quarter of last year, a far milder slump than the 45 percent decline recorded in the preceding quarter. ', 'Reporting by Niklas Pollard; editing by Johannes Hellstrom and David Evans']",2020-01-30 06:40:00,0.0,0.756,0.244,0.4404,0.036,0.863,0.101,0.9794
https://www.reuters.com/article/us-volvo-results/solid-profits-at-volvo-spur-truck-industrys-recovery-hopes-idUSKCN24I0ON,"[""Solid profits at Volvo spur truck industry's recovery hopes""]","['July 17, 2020 /  6:51 AM / 6 days ago']","['STOCKHOLM (Reuters) - Swedish truckmaker AB Volvo (', ') posted better-than-expected second quarter core profit as production shutdowns caused by the coronavirus were lifted, but it cautioned that the pandemic would weigh on demand for the foreseeable future. ', 'The rival of Germany’s Daimler (', ') and Volkswagen’s Traton (', ') said on Friday that the order intake for trucks under the Mack and Renault brands and its own name fell 45% year-on-year.  ', 'It said bookings improved toward the end of the second quarter but fallout from the virus, which has disrupted production and sent order bookings tumbling worldwide in an industry prone to sharp cyclical swings, meant the outlook remained unclear. ', '“When countries started to open up again, both fleet utilization and order intake began to recover,” Volvo CEO Martin Lundstedt said in a statement. ', '“However, there is still significant uncertainty about the future economic development and demand for our products.”   ', 'Adjusted operating profit at the maker of trucks, construction equipment, buses and engines fell to 3.27 billion Swedish crowns ($360 million) from 15.1 billion a year ago - far above analysts’ mean forecast of 17 million crowns, according to Refinitiv estimates. ', 'Volvo shares, which have already clawed back the brunt of this year’s losses, rose 3.5% in early trading. ', 'State-sponsored aid such as furlough schemes has supported the truck industry in Sweden and other production hubs, though Volvo plans to cut thousands of white-collar staff and has shelved its dividend. ', 'Volvo’s strong truck orders “with very good momentum vs expectations in Europe” were a positive along with the profit numbers, analysts at Citi said in a research note.  ', 'It bookings fell 5% year-on-year in June, compared with a 90% plunge in April. ', 'The pandemic has also disrupted business plans. Volvo said a strategic alliance with Japan’s Isuzu was now expected to close in the first half of 2021 rather than around the end of 2020. ', '($1 = 9.0799 Swedish crowns) ', 'Reporting by Niklas Pollard; Editing by Johannes Hellstrom and John Stonestreet']",2020-07-17 06:51:00,0.0,0.734,0.266,0.4404,0.041,0.863,0.096,0.9722
https://www.reuters.com/article/us-volvo-layoffs/ab-volvo-to-cut-white-collar-workforce-by-4100-jobs-as-pandemic-weighs-idUSKBN23N24G,"['AB Volvo to cut white-collar workforce by 4,100 jobs as pandemic weighs']","['June 16, 2020 /  1:32 PM / 2 days ago']","['STOCKHOLM (Reuters) - Truck- and construction equipment maker AB Volvo (', ') plans to cut its white-collar workforce by around 4,100 positions during the second half of 2020, it said in a statement on Tuesday, citing the effects of the COVID-19 pandemic. ', 'The outbreak of the novel coronavirus has slammed demand for trucks, forcing Volvo and its rivals to cut costs, with  ', 'fellow truck maker Scania (', ') earlier this month flagging it was planning major job reductions.       ', '“The corona epidemic and the global measures taken to fight it has led to a market situation impacting our industry severely,” Volvo CEO Martin Lundstedt said in a statement. ', '“The effects are expected to be lower demand going forward and we need to continue to adjust our organization accordingly.”  ', 'Volvo said around 15% of the expected reductions were consultants, adding that about 1,250 positions were expected to be cut in Sweden. ', 'The Gothenburg-based company, which employs some 104,000 staff, said late in April that net order intake of its trucks had dropped by 75% in March versus February and been net negative since then. ', 'Reporting by Johannes Hellstrom; Editing by Simon Johnson']",2020-06-16 13:32:00,0.16,0.84,0.0,-0.2732,0.087,0.902,0.011,-0.91
https://www.reuters.com/article/us-volvo-daimler-fuelcells/volvo-and-daimler-tie-up-to-develop-fuel-cell-for-trucks-idUSKBN2230NW,['Volvo and Daimler tie up to develop fuel cell for trucks'],"['April 21, 2020 /  6:25 AM / 3 months ago']","['STOCKHOLM (Reuters) - Swedish truck maker Volvo (', ') said on Tuesday it had signed a deal with German rival Daimler (', ') to set up a joint venture to develop and produce fuel cell systems for heavy-duty vehicles. ', 'Daimler will consolidate all its current fuel cell activities in the joint venture. Volvo said in a statement it will acquire 50% in the joint venture for the sum of approximately 600 million euros ($650.34 million) on a cash and debt free basis. ', 'The deal was preliminary and non-binding it added. ', 'Reporting by Simon Johnson; editing by Niklas Pollard']",2020-04-21 06:25:00,0.0,1.0,0.0,0.0,0.025,0.942,0.033,0.2023
https://www.reuters.com/article/us-volvo-cars-autonomous-veoneer/veoneer-and-volvo-cars-to-split-zenuity-software-joint-venture-idUSKBN21K0P9,['Veoneer and Volvo Cars to split Zenuity software joint venture'],"['April 2, 2020 /  6:59 AM / a month ago']","['STOCKHOLM (Reuters) - Geely-owned Volvo Cars and auto tech supplier Veoneer will split their jointly owned software venture Zenuity as the Swedish carmaker focuses on developing autonomous driving software, the companies said on Thursday. ', 'Volvo and Veoneer said last year they were conducting a strategic review of Zenuity, which develops software for advanced driver assistance systems (ADAS) and autonomous driving, in part due to a wider introduction of self-driving cars being pushed further into the future. ', 'Under the new agreement, Veoneer will integrate the current Zenuity business focused on ADAS software, while Volvo Cars will set up a new stand-alone company to take over Zenuity’s development and commercialisation of unsupervised autonomous drive software. ', '“This means that we will buy today’s systems (ADAS) from a more traditional supplier relationship, but development-wise we now want to put our focus on the next generation of products,” Volvo Chief Technology Officer Henrik Green told Reuters. ', 'Volvos’ part of Zenuity will focus on software that will be introduced in the next generation of cars based on Volvo’s SPA2 vehicle architecture platform, starting from around 2022, Green added.   ', 'The agreement will see about 600 of the current 800 Zenuity staff and consultants transfer to the new Volvo Cars-owned company, with the remainder moving to Veoneer. ', 'Veoneer, which also makes radars and vision systems and expects 90% of its available market to be for advanced driver assistance systems (ADAS) in the next decade, said the move would help it drive its business strategy more effectively . ', 'The loss-making company said it expected annual savings of around $30 - $40 million from the deal as well as a payment of around $15 million from Volvo Cars, subject to final agreement. ', 'Shares of Veoneer, which is seeking to cut costs as the coronavirus outbreak makes its path to profitability exceedingly challenging, were up 3.8% by 1020 GMT. ', 'Analysts at Carnegie said the move was positive for Veoneer, and that its decision to focus on ADAS software was the right one.   ', 'The split was expected to be finalised in the third quarter at the latest, the companies said. ', 'Reporting by Johannes Hellstrom; editing by Jason Neely and Kirsten Donovan']",2020-04-02 06:59:00,0.0,1.0,0.0,0.0,0.007,0.886,0.108,0.9886
